no,name,stock_code,team
411,INNATURE BERHAD,5295,3
412,INNITY CORPORATION BERHAD,0147,4
413,INNOPRISE PLANTATIONS BERHAD,6262,1
414,INSAS BERHAD,3379,1
415,INTA BINA GROUP BERHAD,0192,7
416,IOI CORPORATION BERHAD,1961,1
417,IOI PROPERTIES GROUP BERHAD,5249,1
418,IQ GROUP HOLDINGS BERHAD,5107,3
419,IQZAN HOLDING BERHAD,7183,2
420,IREKA CORPORATION BERHAD,8834,7
421,IRIS CORPORATION BERHAD,0010,4
422,ISKANDAR WATERFRONT CITY BERHAD,1589,1
423,ITMAX SYSTEM BERHAD,5309,7
424,IVORY PROPERTIES GROUP BERHAD,5175,1
425,JADI IMAGING HOLDINGS BERHAD,7223,3
426,JAG BERHAD,0024,4
427,JAKS RESOURCES BERHAD,4723,7
428,JASA KITA BERHAD,8648,2
429,JATI TINGGI GROUP BERHAD,0292,4
430,JAYA TIASA HOLDINGS BHD,4383,1
431,JAYCORP BERHAD,7152,3
432,JCBNEXT BERHAD,0058,2
433,JCY INTERNATIONAL BERHAD,5161,7
434,JENTAYU SUSTAINABLES BERHAD,5673,2
435,JF TECHNOLOGY BERHAD,0146,7
436,JHM CONSOLIDATION BERHAD,0127,7
437,JIANKUN INTERNATIONAL BERHAD,8923,1
438,JISHAN BERHAD,03040,4
439,JKG LAND BERHAD,6769,1
440,JOE HOLDING BERHAD,7096,2
441,JOHAN HOLDINGS BERHAD,3441,1
442,JOHOR PLANTATIONS GROUP BERHAD,5323,1
443,K. SENG SENG CORPORATION BERHAD,5192,2
444,KAMDAR GROUP (M) BERHAD,8672,3
445,KANGER INTERNATIONAL BERHAD,0170,4
446,KAREX BERHAD,5247,3
447,KARYON INDUSTRIES BERHAD,0054,2
448,KAWAN FOOD BERHAD,7216,3
449,KAWAN RENERGY BERHAD,0307,4
450,KECK SENG (MALAYSIA) BERHAD,3476,2
451,KEIN HING INTERNATIONAL BERHAD,7199,2
452,KELINGTON GROUP BERHAD,0151,2
453,KEN HOLDINGS BERHAD,7323,1
454,KENANGA INVESTMENT BANK BERHAD,6483,1
455,KENANGA KLCI DAILY (-1X) INVERSE ETF,0835EA,2
456,KENANGA KLCI DAILY 2X LEVERAGED ETF,0834EA,2
457,KERJAYA PROSPEK GROUP BERHAD,7161,7
458,KERJAYA PROSPEK PROPERTY BERHAD,7077,7
459,KESM INDUSTRIES BERHAD,9334,7
460,KEY ALLIANCE GROUP BERHAD,0036,4
461,KEY ASIC BERHAD,0143,7
462,KEYFIELD INTERNATIONAL BERHAD,5321,3
463,KGW GROUP BERHAD,0282,4
464,KHEE SAN BERHAD,6203,3
465,KHIND HOLDINGS BERHAD,7062,3
466,KIA LIM BERHAD,6211,2
467,KIM HIN INDUSTRY BERHAD,5371,2
468,KIM HIN JOO (MALAYSIA) BERHAD,0210,4
469,KIM LOONG RESOURCES BERHAD,5027,1
470,KIM TECK CHEONG CONSOLIDATED BERHAD,0180,4
471,KIMLUN CORPORATION BERHAD,5171,7
472,KINERGY ADVANCEMENT BERHAD,0193,2
473,KIP REAL ESTATE INVESTMENT TRUST,5280,1
474,KJTS GROUP BERHAD,0293,4
475,KKB ENGINEERING BERHAD,9466,2
476,KLCC PROPERTY HOLDINGS BERHAD,5235SS,1
478,KLUANG RUBBER COMPANY (MALAYA) BERHAD,2453,1
479,KNM GROUP BERHAD,7164,3
480,KNUSFORD BERHAD,5035,2
481,KOBAY TECHNOLOGY BERHAD,6971,2
482,KOMARKCORP BERHAD,7017,2
483,K-ONE TECHNOLOGY BERHAD,0111,4
484,KOSSAN RUBBER INDUSTRIES BERHAD,7153,1
485,KOTRA INDUSTRIES BERHAD,0002,1
486,KPJ HEALTHCARE BERHAD,5878,1
487,KPS CONSORTIUM BERHAD,9121,2
488,KRETAM HOLDINGS BERHAD,1996,1
489,KRONOLOGI ASIA BERHAD,0176,4
490,KSL HOLDINGS BERHAD,5038,1
491,KTI LANDMARK BERHAD,0308,4
492,KUALA LUMPUR KEPONG BERHAD,2445,1
493,KUB MALAYSIA BERHAD,6874,2
494,KUCHAI DEVELOPMENT BERHAD,2186,1
495,KUCINGKO BERHAD,0315,4
496,KUMPULAN FIMA BERHAD,6491,2
497,KUMPULAN H & L HIGH-TECH BERHAD,7033,2
498,KUMPULAN JETSON BERHAD,9083,2
499,KUMPULAN KITACON BERHAD,5310,7
500,KUMPULAN PERANGSANG SELANGOR BERHAD,5843,2
501,KYM HOLDINGS BERHAD,8362,2
502,L&P GLOBAL BERHAD,0268,4
503,LAGENDA PROPERTIES BERHAD,7179,1
504,LAMBO GROUP BERHAD,0018,4
505,LAND & GENERAL BERHAD,3174,1
506,LANDMARKS BERHAD,1643,3
507,LAY HONG BERHAD,9385,3
508,LB ALUMINIUM BERHAD,9326,2
509,LBI CAPITAL BERHAD,8494,1
510,LBS BINA GROUP BERHAD,5789,1
511,LEADER STEEL HOLDINGS BERHAD,9881,2
512,LEBTECH BERHAD,9628,7
513,LEE SWEE KIAT GROUP BERHAD,8079,3
514,LEFORM BERHAD,0266,4
515,LEON FUAT BERHAD,5232,2
516,LEONG HUP INTERNATIONAL BERHAD,6633,3
517,LFE CORPORATION BERHAD,7170,2
518,LGMS BERHAD,0249,4
519,LIEN HOE CORPORATION BERHAD,3573,1
520,LII HEN INDUSTRIES BHD.,7089,3
521,LIM SEONG HAI CAPITAL BERHAD,03047,4
522,LION INDUSTRIES CORPORATION BERHAD,4235,2
523,LION POSIM BERHAD,8486,2
524,LKL INTERNATIONAL BERHAD,0182,4
525,LOTTE CHEMICAL TITAN HOLDING BERHAD,5284,2
526,LOTUS KFM BERHAD,8303,3
527,LPI CAPITAL BHD,8621,1
528,LTKM BERHAD,7085,3
529,LUSTER INDUSTRIES BHD.,5068,2
530,LUXCHEM CORPORATION BERHAD,5143,2
531,LYC HEALTHCARE BERHAD,0075,4
532,LYSAGHT GALVANIZED STEEL BERHAD,9199,2
533,M & A EQUITY HOLDINGS BERHAD,7082,1
534,M N C WIRELESS BERHAD,0103,4
535,MAA GROUP BERHAD,1198,1
536,MAG HOLDINGS BERHAD,0095,4
537,MAGMA GROUP BERHAD,7243,3
538,MAGNA PRIMA BERHAD,7617,1
539,MAGNI-TECH INDUSTRIES BERHAD,7087,3
540,MAGNUM BERHAD,3859,3
541,MAH SING GROUP BERHAD,8583,1
542,MAJUPERAK HOLDINGS BERHAD,8141,1
543,MALAKOFF CORPORATION BERHAD,5264,1
544,MALAYAN BANKING BERHAD,1155,1
545,MALAYAN CEMENT BERHAD,3794,2
546,MALAYAN FLOUR MILLS BERHAD,3662,3
547,MALAYAN UNITED INDUSTRIES BERHAD,3891,3
548,MALAYSIA AIRPORTS HOLDINGS BERHAD,5014,3
549,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BERHAD,5186,3
550,MALAYSIA SMELTING CORPORATION BERHAD,5916,2
551,MALAYSIA STEEL WORKS (KL) BHD,5098,2
552,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,0155,4
553,MALAYSIAN PACIFIC INDUSTRIES BERHAD,3867,1
